session,division,date,subject,result,yeas,nays,paired,bill,bill_type,bill_type_source,category,stage,confidence_proxy,repair_id,source_file
38-1,12,2004-11-16T17:55:11,"Concurrence at report stage of Bill C-6, An Act to establish the Department of Public Safety and Emergency Preparedness and to amend or repeal certain Acts",Agreed To,278,0,8,C-6,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,13,2004-11-23T17:45:00,Opposition Motion (Processed trans fatty acids),Agreed To,193,73,12,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,14,2004-11-23T17:55:55,"Bill C-7, An Act to amend the Department of Canadian Heritage Act and the Parks Canada Agency Act and to make related amendments to other Acts (report stage amendment)",Agreed To,157,112,12,C-7,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,15,2004-11-23T18:15:20,"Bill C-21, An Act respecting not-for-profit corporations and other corporations without share capital (referral to a committee before second reading)",Agreed To,180,89,12,C-21,House Government Bill,legisinfo,government_bill,,0,,Parliament_38-1/votes_metadata.csv
38-1,16,2004-11-23T18:25:48,"2nd reading of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts",Agreed To,221,48,12,C-23,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,17,2004-11-30T15:05:56,Opposition Motion (Mirabel Airport),Agreed To,157,118,4,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,18,2004-12-01T17:45:28,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)",Negatived,17,233,14,C-5,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,19,2004-12-01T17:55:09,"Bill C-5, An Act to provide financial assistance for post-secondary education savings (report stage amendment)",Negatived,17,233,14,C-5,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,20,2004-12-07T15:05:12,Opposition Motion (Mad cow crisis),Agreed To,164,125,4,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,21,2004-12-07T15:15:41,"3rd reading and adoption of Bill C-5, An Act to provide financial assistance for post-secondary education savings",Agreed To,273,19,4,C-5,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,22,2004-12-07T15:25:25,"3rd reading and adoption of Bill C-14, An Act to give effect to a land claims and self-government agreement among the Tlicho, the Government of the Northwest Territories and the Government of Canada, to make related amendments to the Mackenzie Valley Resource Management Act and to make consequential amendments to other Acts",Agreed To,198,94,4,C-14,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,23,2004-12-07T15:35:57,"2nd reading of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec",Agreed To,240,51,4,C-9,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,24,2004-12-07T15:45:22,"2nd reading of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts",Agreed To,240,51,4,C-22,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,25,2004-12-09T22:00:00,Opposition Motion (Sockeye salmon stocks),Negatived,113,182,0,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,26,2004-12-09T22:00:44,Motion to restore a vote in estimates,Negatived,120,171,0,,,unknown,supply,,1,,Parliament_38-1/votes_metadata.csv
38-1,27,2004-12-09T22:00:50,Motion to restore a vote in estimates,Negatived,124,167,0,,,unknown,supply,,1,,Parliament_38-1/votes_metadata.csv
38-1,28,2004-12-09T22:15:35,Concurrence in an opposed item,Agreed To,191,102,0,,,unknown,supply,,0,,Parliament_38-1/votes_metadata.csv
38-1,29,2004-12-09T22:16:18,Concurrence in an opposed item,Agreed To,192,99,0,,,unknown,supply,,0,,Parliament_38-1/votes_metadata.csv
38-1,30,2004-12-09T22:30:27,"2nd reading of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts",Agreed To,225,67,0,C-30,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,31,2005-02-02T17:45:54,"2nd reading of Bill C-24, An Act to amend the Federal-Provincial Fiscal Arrangements Act and to make consequential amendments to other Acts (fiscal equalization payments to the provinces and funding to the territories)",Agreed To,220,47,10,C-24,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,32,2005-02-08T17:40:47,Opposition Motion (Assistance to the clothing and textile industries),Agreed To,157,108,10,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,33,2005-02-08T16:30:21,Opposition Motion (Financial relief for farmers),Agreed To,158,114,10,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,34,2005-02-09T17:45:44,"2nd reading of Bill C-206, An Act to amend the Food and Drugs Act (warning labels regarding the consumption of alcohol)",Agreed To,225,27,16,C-206,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,35,2005-02-15T17:30:06,Opposition Motion (Childcare funding),Negatived,96,185,8,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,36,2005-02-15T17:45:25,"2nd reading of Bill C-31, An Act to establish the Department of International Trade and to make related amendments to certain Acts",Negatived,125,157,8,C-31,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,37,2005-02-15T17:55:50,"3rd reading and adoption of Bill C-24, An Act to amend the Federal-Provincial Fiscal Arrangements Act and to make consequential amendments to other Acts (fiscal equalization payments to the provinces and funding to the territories)",Agreed To,229,50,8,C-24,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,38,2005-02-15T18:05:16,"2nd reading of Bill C-32, An Act to amend the Department of Foreign Affairs and International Trade Act and to make consequential amendments to other Acts",Negatived,125,154,8,C-32,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,39,2005-02-22T17:35:41,Opposition Motion (Accountability of foundations),Agreed To,161,114,4,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,40,2005-02-22T17:45:07,Opposition Motion (Light duty vehicle emission standards),Negatived,70,201,4,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,41,2005-03-07T18:30:26,Budgetary policy (subamendment),Negatived,71,209,0,,,unknown,supply,amendment,1,,Parliament_38-1/votes_metadata.csv
38-1,42,2005-03-08T17:30:35,Budgetary policy (amendment),Negatived,85,205,0,,,unknown,supply,amendment,1,,Parliament_38-1/votes_metadata.csv
38-1,43,2005-03-09T17:30:14,Budgetary policy,Agreed To,132,73,0,,,unknown,supply,,1,,Parliament_38-1/votes_metadata.csv
38-1,44,2005-03-09T17:45:20,"2nd reading of Bill C-283, An Act to amend the Immigration and Refugee Protection Act and the Immigration and Refugee Protection Regulations",Agreed To,165,112,0,C-283,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,45,2005-03-22T17:30:28,Opposition Motion (Equalization) (amendment),Negatived,105,181,2,,,unknown,opposition_motion,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,46,2005-03-22T17:40:01,Opposition Motion (Equalization),Negatived,105,182,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,47,2005-03-22T19:00:00,"Concurrence at report stage of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts",Agreed To,217,70,2,C-23,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,48,2005-03-22T19:15:39,"Concurrence at report stage of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts",Agreed To,217,70,2,C-22,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,49,2005-03-23T17:45:44,"Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts (report stage amendment)",Agreed To,203,50,18,C-30,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,50,2005-03-23T17:55:13,"Concurrence at report stage of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts",Agreed To,200,54,18,C-30,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,51,2005-03-23T18:55:59,Private Members' Business M-195 (Foreign Credential Recognition Program) (amendment),Negatived,112,138,18,,,unknown,private_members_business,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,52,2005-03-23T18:15:22,"2nd reading of Bill C-272, An Act to amend the Immigration and Refugee Protection Act (sponsorship of relative)",Negatived,76,167,18,C-272,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,53,2005-04-06T15:10:30,Fourth Report of the Standing Committee on Environment and Sustainable Development,Agreed To,143,108,0,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,54,2005-04-06T15:15:21,"2nd reading of Bill C-278, An Act to amend the Employment Insurance Act (improvement of the employment insurance system)",Negatived,77,170,0,C-278,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,55,2005-04-06T15:20:52,"Private Members' Business M-193 (First Nations, Métis and Inuit war veterans)",Agreed To,144,100,0,,,unknown,private_members_business,,0,,Parliament_38-1/votes_metadata.csv
38-1,56,2005-04-12T17:50:44,"2nd reading of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (reasoned amendment)",Negatived,132,164,2,C-38,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,57,2005-04-12T18:00:32,"3rd reading and adoption of Bill C-30, An Act to amend the Parliament of Canada Act and the Salaries Act and to make consequential amendments to other Acts",Agreed To,231,65,2,C-30,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,58,2005-04-12T18:10:33,Opposition Motion (Air India bombing),Agreed To,172,124,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,59,2005-04-12T18:15:19,Fourth Report of the Standing Committee on Aboriginal Affairs and Northern Development (amendment),Negatived,147,149,2,,,unknown,committee_report,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,60,2005-04-12T18:20:59,Fourth Report of the Standing Committee on Aboriginal Affairs and Northern Development,Agreed To,149,147,2,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,61,2005-04-13T15:10:37,"2nd reading of Bill C-236, An Act to amend the Bankruptcy and Insolvency Act (student loan)",Negatived,105,168,4,C-236,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,62,2005-04-13T15:20:37,"2nd reading of Bill C-263, An Act to amend the Canada Labour Code (replacement workers)",Negatived,131,143,4,C-263,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,63,2005-04-13T15:13:30,"2nd reading of Bill S-3, An Act to amend the Official Languages Act (promotion of English and French)",Agreed To,194,69,4,S-3,Senate Public Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,64,2005-04-13T15:40:32,"2nd reading of Bill C-280, An Act to amend the Employment Insurance Act (Employment Insurance Account and premium rate setting) and another Act in consequence",Agreed To,156,116,4,C-280,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,65,2005-04-19T17:45:33,Opposition Motion (Sponsorship Program (trust account)),Agreed To,157,119,4,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,66,2005-04-20T17:45:52,Seventh Report of the Standing Committee on Health,Agreed To,269,0,2,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,67,2005-04-20T17:55:37,"2nd reading of Bill C-265, An Act to amend the Income Tax Act (exemption from taxation of 50% of United States social security payments to Canadian residents)",Agreed To,154,112,2,C-265,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,68,2005-04-20T18:00:54,Private Members' Business M-165 (Gasoline prices),Negatived,111,147,2,,,unknown,private_members_business,,0,,Parliament_38-1/votes_metadata.csv
38-1,69,2005-05-02T18:45:26,Third Report of the Standing Committee on Agriculture and Agri-Food (amendment),Negatived,123,167,0,,,unknown,committee_report,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,70,2005-05-02T17:55:38,Third Report of the Standing Committee on Agriculture and Agri-Food,Agreed To,168,122,0,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,71,2005-05-03T12:04:44,Motion to adjourn the debate,Negatived,140,148,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,72,2005-05-04T16:30:47,Motion to adjourn the debate,Agreed To,222,73,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,73,2005-05-04T17:45:34,"Fourth Report of the Standing Committee on Justice, Human Rights, Public Safety and Emergency Preparedness (previous question)",Agreed To,188,109,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,74,2005-05-04T17:55:54,"Fourth Report of the Standing Committee on Justice, Human Rights, Public Safety and Emergency Preparedness",Agreed To,188,109,0,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,75,2005-05-04T18:00:50,"2nd reading of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes (previous question)",Agreed To,163,138,0,C-38,House Government Bill,legisinfo,procedural,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,76,2005-05-04T18:10:30,"2nd reading of Bill C-38, An Act respecting certain aspects of legal capacity for marriage for civil purposes",Agreed To,164,137,0,C-38,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,77,2005-05-04T18:30:12,"2nd reading of Bill C-215, An Act to amend the Criminal Code (consecutive sentence for use of firearm in commission of offence)",Tie,148,148,0,C-215,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,78,2005-05-04T18:40:44,"2nd reading of Bill C-274, An Act to amend the Patent Act",Negatived,23,266,0,C-274,Private Member’s Bill,legisinfo,private_members_business,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,79,2005-05-10T10:31:01,Motion to adjourn the debate,Agreed To,132,122,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,80,2005-05-10T17:45:38,"Motion respecting Senate amendments to Bill C-12, An Act to prevent the introduction and spread of communicable diseases",Agreed To,249,54,0,C-12,House Government Bill,legisinfo,government_bill,senate_amendments,0,,Parliament_38-1/votes_metadata.csv
38-1,81,2005-05-10T17:55:16,"Concurrence at report stage of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec",Agreed To,247,54,0,C-9,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,82,2005-05-10T18:05:31,Amendment to the First Report of the Standing Committee on Public Accounts (amendment),Agreed To,153,150,0,,,unknown,committee_report,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,83,2005-05-10T18:15:12,Amendment to the First Report of the Standing Committee on Public Accounts,Agreed To,153,150,0,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,84,2005-05-11T15:59:18,Motion to adjourn the debate,Negatived,147,153,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,85,2005-05-11T19:00:00,Motion to adjourn the House,Agreed To,277,21,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,86,2005-05-12T10:57:43,Motion to adjourn the House,Agreed To,152,144,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,87,2005-05-13T10:24:09,Motion to hear another Member,Agreed To,150,65,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,88,2005-05-13T12:41:23,Motion to adjourn the House,Agreed To,138,57,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,89,2005-05-18T15:45:42,Second Report of the Standing Committee on Foreign Affairs and International Trade,Agreed To,158,123,4,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,90,2005-05-19T17:45:45,"2nd reading of Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005",Agreed To,250,54,2,C-43,House Government Bill,legisinfo,government_bill,second_reading,1,,Parliament_38-1/votes_metadata.csv
38-1,91,2005-05-19T18:12:15,"2nd reading of Bill C-48, An Act to authorize the Minister of Finance to make certain payments",Tie,152,152,2,C-48,House Government Bill,legisinfo,government_bill,second_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,92,2005-06-01T17:55:29,"3rd reading and adoption of Bill C-9, An Act to establish the Economic Development Agency of Canada for the Regions of Quebec",Agreed To,232,47,12,C-9,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,93,2005-06-01T16:55:40,Opposition Motion (Gomery commission terms of reference),Negatived,92,192,12,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,94,2005-06-01T18:05:59,"3rd reading and adoption of Bill C-23, An Act to establish the Department of Human Resources and Skills Development and to amend and repeal certain related Acts",Agreed To,217,67,12,C-23,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,95,2005-06-07T17:30:58,Opposition Motion (National strategy for health) (amendment),Agreed To,231,53,2,,,unknown,opposition_motion,amendment,0,,Parliament_38-1/votes_metadata.csv
38-1,96,2005-06-07T17:40:14,Opposition Motion (National strategy for health),Agreed To,231,53,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,97,2005-06-07T17:50:00,Opposition Motion (Employment Insurance),Negatived,105,175,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,98,2005-06-07T18:00:05,Opposition Motion (Discrimination on the basis of political opinion),Agreed To,157,124,2,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,99,2005-06-07T18:10:04,Private Members' Business M-195 (Foreign Credential Recognition Program),Agreed To,219,54,2,,,unknown,private_members_business,,0,,Parliament_38-1/votes_metadata.csv
38-1,100,2005-06-08T17:55:30,Government Business No. 15 (Review of Delegated Legislation),Agreed To,189,89,8,,,unknown,government_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,101,2005-06-08T18:05:13,"3rd reading and adoption of Bill C-22, An Act to establish the Department of Social Development and to amend and repeal certain related Acts",Agreed To,210,68,8,C-22,House Government Bill,legisinfo,government_bill,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,102,2005-06-13T17:30:55,Government Business No. 16 (Extension of sitting hours in June),Agreed To,146,120,6,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,103,2005-06-14T22:15:05,Opposition Motion (Strategy to help older workers),Agreed To,301,0,0,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,104,2005-06-14T22:20:41,Opposition Motion (Child care),Negatived,95,205,0,,,unknown,opposition_motion,,0,,Parliament_38-1/votes_metadata.csv
38-1,105,2005-06-14T22:25:48,Concurrence in an opposed item,Agreed To,206,96,0,,,unknown,supply,,0,,Parliament_38-1/votes_metadata.csv
38-1,106,2005-06-14T22:33:05,Concurrence in an opposed item,Agreed To,198,101,0,,,unknown,supply,,0,,Parliament_38-1/votes_metadata.csv
38-1,107,2005-06-14T22:40:31,Concurrence in an opposed item,Agreed To,198,101,0,,,unknown,supply,,0,,Parliament_38-1/votes_metadata.csv
38-1,108,2005-06-14T22:45:12,Concurrence in estimates,Agreed To,153,149,0,,,unknown,supply,,1,,Parliament_38-1/votes_metadata.csv
38-1,109,2005-06-14T10:50:58,"2nd reading of Bill C-58, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2006",Agreed To,153,149,0,C-58,House Government Bill,legisinfo,supply,second_reading,1,,Parliament_38-1/votes_metadata.csv
38-1,110,2005-06-14T11:26:29,"Concurrence at report stage of Bill C-58, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2006",Agreed To,153,149,0,C-58,House Government Bill,legisinfo,supply,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,111,2005-06-14T11:28:48,"3rd reading and adoption of Bill C-58, An Act for granting to Her Majesty certain sums of money for the federal public administration for the financial year ending March 31, 2006",Agreed To,153,149,0,C-58,House Government Bill,legisinfo,supply,third_reading,1,,Parliament_38-1/votes_metadata.csv
38-1,112,2005-06-14T23:05:45,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Agreed To,153,149,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,113,2005-06-14T23:10:53,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Agreed To,153,149,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,114,2005-06-14T23:15:29,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Agreed To,153,149,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,115,2005-06-14T23:20:36,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Negatived,149,153,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,116,2005-06-14T23:25:51,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Negatived,149,153,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,117,2005-06-14T23:30:15,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage subamendment)",Agreed To,229,73,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,118,2005-06-14T23:35:14,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Agreed To,248,54,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,119,2005-06-14T23:40:24,"Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005 (report stage amendment)",Agreed To,248,54,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,120,2005-06-14T23:45:43,"Concurrence at report stage of Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005",Agreed To,249,53,0,C-43,House Government Bill,legisinfo,government_bill,report_stage,1,,Parliament_38-1/votes_metadata.csv
38-1,121,2005-06-14T23:50:05,"Concurrence at report stage of Bill C-25, An Act governing the operation of remote sensing space systems",Agreed To,229,72,0,C-25,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
38-1,122,2005-06-15T17:45:09,"Fifth Report of the Standing Committee on Access to Information, Privacy and Ethics",Agreed To,277,2,8,,,unknown,committee_report,,0,,Parliament_38-1/votes_metadata.csv
38-1,123,2005-06-15T17:55:56,"3rd reading and adoption of Bill C-259, An Act to amend the Excise Tax Act (elimination of excise tax on jewellery)",Agreed To,185,93,8,C-259,Private Member’s Bill,legisinfo,private_members_business,third_reading,0,,Parliament_38-1/votes_metadata.csv
38-1,124,2005-06-16T10:50:26,Motion to adjourn the debate,Agreed To,198,88,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,125,2005-06-16T15:05:46,"3rd reading and adoption of Bill C-43, An Act to implement certain provisions of the budget tabled in Parliament on February 23, 2005",Agreed To,242,54,0,C-43,House Government Bill,legisinfo,government_bill,third_reading,1,,Parliament_38-1/votes_metadata.csv
38-1,126,2005-06-20T16:13:29,Motion to adjourn the debate,Agreed To,192,83,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,127,2005-06-21T10:54:08,Motion to adjourn the debate,Agreed To,191,88,0,,,unknown,procedural,,0,,Parliament_38-1/votes_metadata.csv
38-1,128,2005-06-21T19:15:39,"Bill C-48, An Act to authorize the Minister of Finance to make certain payments (report stage subamendment)",Negatived,93,205,0,C-48,House Government Bill,legisinfo,government_bill,report_stage,0,,Parliament_38-1/votes_metadata.csv
